기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202404,신용카드,개인,국내이용금액,일시불,일반,롯데카드,17393707
202404,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,759877
202404,신용카드,개인,국내이용금액,할부,일반,롯데카드,5115493
202404,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,279149
202404,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,2017275
202404,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,2038875
202404,신용카드,법인,국내이용금액,일시불,일반,롯데카드,2317367
202404,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,494572
202404,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,4345222
202404,신용카드,법인,국내이용금액,할부,일반,롯데카드,3175
202404,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,71180
202404,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202404,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,345496
202404,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,1329
202404,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,316
202404,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202404,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202404,신용카드,개인,해외이용금액,일시불,일반,롯데카드,341298
202404,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202404,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,2218
202404,신용카드,법인,해외이용금액,일시불,일반,롯데카드,215526
202404,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,22
202404,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,5137
202404,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202404,신용카드,개인,회원수,전체회원수,합계,롯데카드,9395
202404,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,9173
202404,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,112
202404,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,112
202404,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,86
202404,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,7080
202404,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,7073
202404,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,8552
202404,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,8373
202404,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,0
202404,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202404,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,37
202404,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,387
202404,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,롯데카드,29
202404,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,롯데카드,375
202404,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,롯데카드,26
202404,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,263
202404,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,롯데카드,2
202404,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,롯데카드,0
202404,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,롯데카드,2
202404,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,롯데카드,0
202404,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,2
202404,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,롯데카드,746014
202404,금융자산,금융자산,금융자산,합계,합계,롯데카드,4832072
202404,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,롯데카드,169343
202404,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,롯데카드,1055188
202404,신용카드,개인,국내이용금액,일시불,일반,비씨카드,5038010
202404,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드,60290
202404,신용카드,개인,국내이용금액,할부,일반,비씨카드,1205613
202404,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드,131750
202404,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드,363447
202404,신용카드,개인,국내이용금액,카드론,카드론,비씨카드,20232
202404,신용카드,법인,국내이용금액,일시불,일반,비씨카드,7159300
202404,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드,614336
202404,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드,247502
202404,신용카드,법인,국내이용금액,할부,일반,비씨카드,509490
202404,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드,592817
202404,신용카드,법인,국내이용금액,할부,구매전용,비씨카드,46
202404,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드,5663771
202404,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,30759
202404,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드,1502304
202404,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,1201897
202404,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드,0
202404,신용카드,개인,해외이용금액,일시불,일반,비씨카드,129091
202404,신용카드,개인,해외이용금액,할부,일반,비씨카드,0
202404,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드,2439
202404,신용카드,법인,해외이용금액,일시불,일반,비씨카드,335595
202404,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드,1575
202404,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드,33930
202404,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드,50725
202404,신용카드,개인,회원수,전체회원수,합계,비씨카드,5725
202404,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드,5702
202404,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드,141
202404,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드,141
202404,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,64
202404,신용카드,개인,회원수,전체이용회원수,합계,비씨카드,2773
202404,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드,2765
202404,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드,5347
202404,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드,5326
202404,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드,10
202404,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,11
202404,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드,702
202404,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드,9763
202404,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드,1004
202404,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드,8257
202404,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드,762
202404,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,7563
202404,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,비씨카드,866
202404,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,비씨카드,73
202404,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,비씨카드,1235
202404,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,비씨카드,209
202404,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,552
202404,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,비씨카드,7341
202404,금융자산,금융자산,금융자산,합계,합계,비씨카드,40111
202404,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,비씨카드,0
202404,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,비씨카드,17512
202404,신용카드,개인,국내이용금액,일시불,일반,비씨카드 기타,16234129
202404,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,240762
202404,신용카드,개인,국내이용금액,할부,일반,비씨카드 기타,3558508
202404,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드 기타,452991
202404,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드 기타,2221757
202404,신용카드,개인,국내이용금액,카드론,카드론,비씨카드 기타,0
202404,신용카드,법인,국내이용금액,일시불,일반,비씨카드 기타,5530079
202404,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,1775846
202404,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드 기타,97054
202404,신용카드,법인,국내이용금액,할부,일반,비씨카드 기타,98233
202404,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드 기타,28667
202404,신용카드,법인,국내이용금액,할부,구매전용,비씨카드 기타,264
202404,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드 기타,7070889
202404,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드 기타,24127
202404,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드 기타,1808672
202404,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드 기타,171552
202404,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드 기타,0
202404,신용카드,개인,해외이용금액,일시불,일반,비씨카드 기타,346943
202404,신용카드,개인,해외이용금액,할부,일반,비씨카드 기타,0
202404,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드 기타,4653
202404,신용카드,법인,해외이용금액,일시불,일반,비씨카드 기타,205550
202404,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드 기타,175
202404,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드 기타,89367
202404,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드 기타,27787
202404,신용카드,개인,회원수,전체회원수,합계,비씨카드 기타,9956
202404,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드 기타,9881
202404,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드 기타,53
202404,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드 기타,52
202404,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드 기타,95
202404,신용카드,개인,회원수,전체이용회원수,합계,비씨카드 기타,6780
202404,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드 기타,6758
202404,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드 기타,9571
202404,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드 기타,9501
202404,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드 기타,8
202404,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드 기타,7
202404,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드 기타,554
202404,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드 기타,12261
202404,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드 기타,1441
202404,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드 기타,10235
202404,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드 기타,729
202404,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드 기타,8074
202404,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,비씨카드 기타,474
202404,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,비씨카드 기타,43
202404,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,비씨카드 기타,739
202404,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,비씨카드 기타,96
202404,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드 기타,182
202404,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,비씨카드 기타,0
202404,금융자산,금융자산,금융자산,합계,합계,비씨카드 기타,0
202404,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,비씨카드 기타,0
202404,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,비씨카드 기타,0
