기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202311,신용카드,개인,국내이용금액,일시불,일반,롯데카드,45430726
202311,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,1543531
202311,신용카드,개인,국내이용금액,할부,일반,롯데카드,13626657
202311,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,698927
202311,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,5598109
202311,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,4630000
202311,신용카드,법인,국내이용금액,일시불,일반,롯데카드,5847593
202311,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,1641247
202311,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,10945698
202311,신용카드,법인,국내이용금액,할부,일반,롯데카드,9700
202311,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,51404
202311,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202311,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,933799
202311,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,2419
202311,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,1028
202311,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202311,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202311,신용카드,개인,해외이용금액,일시불,일반,롯데카드,839158
202311,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202311,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,6606
202311,신용카드,법인,해외이용금액,일시불,일반,롯데카드,542816
202311,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,63
202311,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,2539
202311,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202311,신용카드,개인,회원수,전체회원수,합계,롯데카드,9298
202311,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,9053
202311,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,85
202311,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,85
202311,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,88
202311,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,6477
202311,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,6455
202311,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,8466
202311,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,8274
202311,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,0
202311,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202311,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,36
202311,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,411
202311,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,롯데카드,30
202311,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,롯데카드,398
202311,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,롯데카드,27
202311,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,283
202311,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,롯데카드,2
202311,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,롯데카드,0
202311,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,롯데카드,2
202311,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,롯데카드,0
202311,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,2
202311,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,롯데카드,783206
202311,금융자산,금융자산,금융자산,합계,합계,롯데카드,4374004
202311,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,롯데카드,81076
202311,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,롯데카드,1098163
202311,신용카드,개인,국내이용금액,일시불,일반,비씨카드,13306565
202311,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드,191422
202311,신용카드,개인,국내이용금액,할부,일반,비씨카드,3275936
202311,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드,364001
202311,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드,994457
202311,신용카드,개인,국내이용금액,카드론,카드론,비씨카드,39274
202311,신용카드,법인,국내이용금액,일시불,일반,비씨카드,19584553
202311,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드,1708786
202311,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드,571495
202311,신용카드,법인,국내이용금액,할부,일반,비씨카드,1390856
202311,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드,1436368
202311,신용카드,법인,국내이용금액,할부,구매전용,비씨카드,15442
202311,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드,16202542
202311,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,84932
202311,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드,4147151
202311,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,3377903
202311,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드,0
202311,신용카드,개인,해외이용금액,일시불,일반,비씨카드,347240
202311,신용카드,개인,해외이용금액,할부,일반,비씨카드,0
202311,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드,7454
202311,신용카드,법인,해외이용금액,일시불,일반,비씨카드,864725
202311,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드,3541
202311,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드,88118
202311,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드,145646
202311,신용카드,개인,회원수,전체회원수,합계,비씨카드,5343
202311,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드,5320
202311,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드,106
202311,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드,106
202311,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,51
202311,신용카드,개인,회원수,전체이용회원수,합계,비씨카드,2669
202311,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드,2660
202311,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드,5013
202311,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드,4993
202311,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드,7
202311,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,12
202311,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드,712
202311,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드,9935
202311,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드,1023
202311,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드,8399
202311,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드,768
202311,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,7681
202311,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,비씨카드,864
202311,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,비씨카드,67
202311,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,비씨카드,1247
202311,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,비씨카드,211
202311,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,549
202311,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,비씨카드,5043
202311,금융자산,금융자산,금융자산,합계,합계,비씨카드,29382
202311,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,비씨카드,0
202311,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,비씨카드,13560
202311,신용카드,개인,국내이용금액,일시불,일반,비씨카드 기타,45791886
202311,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,727780
202311,신용카드,개인,국내이용금액,할부,일반,비씨카드 기타,11021289
202311,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드 기타,1351244
202311,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드 기타,6425319
202311,신용카드,개인,국내이용금액,카드론,카드론,비씨카드 기타,0
202311,신용카드,법인,국내이용금액,일시불,일반,비씨카드 기타,18077301
202311,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,3642280
202311,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드 기타,265267
202311,신용카드,법인,국내이용금액,할부,일반,비씨카드 기타,302691
202311,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드 기타,78115
202311,신용카드,법인,국내이용금액,할부,구매전용,비씨카드 기타,6796
202311,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드 기타,20972285
