기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202307,신용카드,개인,국내이용금액,일시불,일반,롯데카드,28734582
202307,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,840016
202307,신용카드,개인,국내이용금액,할부,일반,롯데카드,8552447
202307,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,452210
202307,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,3504812
202307,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,3204771
202307,신용카드,법인,국내이용금액,일시불,일반,롯데카드,3669364
202307,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,1124244
202307,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,6827474
202307,신용카드,법인,국내이용금액,할부,일반,롯데카드,6290
202307,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,51038
202307,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202307,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,544997
202307,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,1376
202307,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,689
202307,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202307,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202307,신용카드,개인,해외이용금액,일시불,일반,롯데카드,523503
202307,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202307,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,4300
202307,신용카드,법인,해외이용금액,일시불,일반,롯데카드,342101
202307,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,38
202307,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,1469
202307,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202307,신용카드,개인,회원수,전체회원수,합계,롯데카드,9223
202307,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,8959
202307,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,119
202307,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,120
202307,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,77
202307,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,6453
202307,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,6430
202307,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,8418
202307,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,8213
202307,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,0
202307,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202307,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,36
202307,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,441
202307,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,롯데카드,31
202307,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,롯데카드,427
202307,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,롯데카드,28
202307,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,308
202307,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,롯데카드,2
202307,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,롯데카드,0
202307,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,롯데카드,2
202307,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,롯데카드,0
202307,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,2
202307,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,롯데카드,755754
202307,금융자산,금융자산,금융자산,합계,합계,롯데카드,4430076
202307,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,롯데카드,73738
202307,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,롯데카드,1062866
202307,신용카드,개인,국내이용금액,일시불,일반,비씨카드,8377958
202307,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드,113575
202307,신용카드,개인,국내이용금액,할부,일반,비씨카드,2004622
202307,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드,213737
202307,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드,625255
202307,신용카드,개인,국내이용금액,카드론,카드론,비씨카드,18487
202307,신용카드,법인,국내이용금액,일시불,일반,비씨카드,12106629
202307,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드,1075188
202307,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드,327910
202307,신용카드,법인,국내이용금액,할부,일반,비씨카드,875853
202307,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드,957743
202307,신용카드,법인,국내이용금액,할부,구매전용,비씨카드,11592
202307,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드,10318507
202307,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,53908
202307,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드,2512576
202307,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,2152032
202307,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드,0
202307,신용카드,개인,해외이용금액,일시불,일반,비씨카드,217394
202307,신용카드,개인,해외이용금액,할부,일반,비씨카드,0
202307,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드,4969
202307,신용카드,법인,해외이용금액,일시불,일반,비씨카드,535788
202307,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드,2359
202307,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드,55287
202307,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드,92354
202307,신용카드,개인,회원수,전체회원수,합계,비씨카드,5164
202307,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드,5141
202307,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드,98
202307,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드,98
202307,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,62
202307,신용카드,개인,회원수,전체이용회원수,합계,비씨카드,2506
202307,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드,2497
202307,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드,4864
202307,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드,4843
202307,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드,7
202307,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,11
202307,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드,726
202307,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드,10001
202307,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드,969
202307,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드,8534
202307,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드,724
202307,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,7748
202307,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,비씨카드,858
202307,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,비씨카드,62
202307,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,비씨카드,1265
202307,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,비씨카드,213
202307,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,548
202307,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,비씨카드,3128
202307,금융자산,금융자산,금융자산,합계,합계,비씨카드,16350
202307,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,비씨카드,0
202307,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,비씨카드,9287
