기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202401,신용카드,개인,국내이용금액,일시불,일반,롯데카드,4295363
202401,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,254909
202401,신용카드,개인,국내이용금액,할부,일반,롯데카드,1344669
202401,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,102745
202401,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,518152
202401,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,483927
202401,신용카드,법인,국내이용금액,일시불,일반,롯데카드,565886
202401,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,123077
202401,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,1135286
202401,신용카드,법인,국내이용금액,할부,일반,롯데카드,805
202401,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,229
202401,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202401,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,87157
202401,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,592
202401,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,76
202401,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202401,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202401,신용카드,개인,해외이용금액,일시불,일반,롯데카드,91022
202401,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202401,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,664
202401,신용카드,법인,해외이용금액,일시불,일반,롯데카드,54894
202401,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,5
202401,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,466
202401,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202401,신용카드,개인,회원수,전체회원수,합계,롯데카드,9326
202401,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,9091
202401,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,119
202401,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,119
202401,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,94
202401,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,7065
202401,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,7058
202401,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,8482
202401,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,8296
202401,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,0
202401,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202401,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,37
202401,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,399
202401,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,롯데카드,29
202401,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,롯데카드,386
202401,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,롯데카드,26
202401,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,273
202401,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,롯데카드,2
202401,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,롯데카드,0
202401,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,롯데카드,2
202401,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,롯데카드,0
202401,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,2
202401,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,롯데카드,758641
202401,금융자산,금융자산,금융자산,합계,합계,롯데카드,4430720
202401,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,롯데카드,123426
202401,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,롯데카드,1087311
202401,신용카드,개인,국내이용금액,일시불,일반,비씨카드,1258250
202401,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드,25321
202401,신용카드,개인,국내이용금액,할부,일반,비씨카드,311104
202401,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드,53373
202401,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드,94458
202401,신용카드,개인,국내이용금액,카드론,카드론,비씨카드,5452
202401,신용카드,법인,국내이용금액,일시불,일반,비씨카드,1826743
202401,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드,182046
202401,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드,57430
202401,신용카드,법인,국내이용금액,할부,일반,비씨카드,124157
202401,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드,191736
202401,신용카드,법인,국내이용금액,할부,구매전용,비씨카드,46
202401,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드,1400619
202401,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,9848
202401,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드,363483
202401,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,238345
202401,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드,0
202401,신용카드,개인,해외이용금액,일시불,일반,비씨카드,33888
202401,신용카드,개인,해외이용금액,할부,일반,비씨카드,0
202401,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드,638
202401,신용카드,법인,해외이용금액,일시불,일반,비씨카드,84742
202401,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드,480
202401,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드,8119
202401,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드,12651
202401,신용카드,개인,회원수,전체회원수,합계,비씨카드,5442
202401,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드,5419
202401,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드,138
202401,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드,138
202401,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,69
202401,신용카드,개인,회원수,전체이용회원수,합계,비씨카드,2693
202401,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드,2684
202401,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드,5098
202401,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드,5077
202401,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드,6
202401,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,10
202401,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드,706
202401,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드,9744
202401,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드,981
202401,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드,8253
202401,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드,744
202401,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,7539
202401,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,비씨카드,869
202401,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,비씨카드,71
202401,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,비씨카드,1243
202401,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,비씨카드,212
202401,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,554
202401,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,비씨카드,5857
202401,금융자산,금융자산,금융자산,합계,합계,비씨카드,34348
202401,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,비씨카드,0
202401,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,비씨카드,15422
202401,신용카드,개인,국내이용금액,일시불,일반,비씨카드 기타,4174104
202401,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,87224
202401,신용카드,개인,국내이용금액,할부,일반,비씨카드 기타,950856
202401,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드 기타,191415
202401,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드 기타,583419
202401,신용카드,개인,국내이용금액,카드론,카드론,비씨카드 기타,0
202401,신용카드,법인,국내이용금액,일시불,일반,비씨카드 기타,1326769
202401,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,212972
202401,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드 기타,25509
202401,신용카드,법인,국내이용금액,할부,일반,비씨카드 기타,24398
202401,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드 기타,9686
202401,신용카드,법인,국내이용금액,할부,구매전용,비씨카드 기타,264
202401,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드 기타,1769958
202401,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드 기타,11823
202401,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드 기타,443375
202401,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드 기타,45455
202401,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드 기타,0
202401,신용카드,개인,해외이용금액,일시불,일반,비씨카드 기타,99089
202401,신용카드,개인,해외이용금액,할부,일반,비씨카드 기타,0
202401,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드 기타,1431
202401,신용카드,법인,해외이용금액,일시불,일반,비씨카드 기타,53773
202401,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드 기타,46
202401,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드 기타,25922
202401,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드 기타,7937
202401,신용카드,개인,회원수,전체회원수,합계,비씨카드 기타,10095
202401,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드 기타,10018
202401,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드 기타,97
202401,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드 기타,95
202401,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드 기타,109
202401,신용카드,개인,회원수,전체이용회원수,합계,비씨카드 기타,6888
202401,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드 기타,6864
202401,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드 기타,9715
202401,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드 기타,9643
202401,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드 기타,7
202401,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드 기타,5
202401,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드 기타,553
202401,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드 기타,12297
202401,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드 기타,1482
202401,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드 기타,10360
202401,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드 기타,761
202401,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드 기타,8187
202401,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,비씨카드 기타,485
202401,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,비씨카드 기타,43
202401,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,비씨카드 기타,740
202401,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,비씨카드 기타,94
202401,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드 기타,185
202401,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,비씨카드 기타,0
202401,금융자산,금융자산,금융자산,합계,합계,비씨카드 기타,0
202401,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,비씨카드 기타,0
202401,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,비씨카드 기타,0
202401,신용카드,개인,국내이용금액,일시불,일반,삼성카드,7286980
202401,신용카드,개인,국내이용금액,일시불,국세/지방세등,삼성카드,450894
202401,신용카드,개인,국내이용금액,할부,일반,삼성카드,2544474
202401,신용카드,개인,국내이용금액,할부,국세/지방세등,삼성카드,304698
202401,신용카드,개인,국내이용금액,현금서비스,현금서비스,삼성카드,607580
202401,신용카드,개인,국내이용금액,카드론,카드론,삼성카드,777671
202401,신용카드,법인,국내이용금액,일시불,일반,삼성카드,903234
202401,신용카드,법인,국내이용금액,일시불,국세/지방세등,삼성카드,129662
202401,신용카드,법인,국내이용금액,일시불,구매전용,삼성카드,295417
202401,신용카드,법인,국내이용금액,할부,일반,삼성카드,2841
202401,신용카드,법인,국내이용금액,할부,국세/지방세등,삼성카드,0
202401,신용카드,법인,국내이용금액,할부,구매전용,삼성카드,0
202401,직불/체크카드,개인,국내이용금액,일반,일반,삼성카드,68304
202401,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,삼성카드,1060
202401,직불/체크카드,법인,국내이용금액,일반,일반,삼성카드,1751
202401,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,삼성카드,1
202401,직불/체크카드,법인,국내이용금액,구매전용,구매전용,삼성카드,0
202401,신용카드,개인,해외이용금액,일시불,일반,삼성카드,223661
202401,신용카드,개인,해외이용금액,할부,일반,삼성카드,14357
202401,신용카드,개인,해외이용금액,현금서비스,현금서비스,삼성카드,1662
202401,신용카드,법인,해외이용금액,일시불,일반,삼성카드,40325
202401,신용카드,법인,해외이용금액,현금서비스,현금서비스,삼성카드,21
202401,직불/체크카드,개인,해외이용금액,일반,일반,삼성카드,465
202401,직불/체크카드,법인,해외이용금액,일반,일반,삼성카드,0
202401,신용카드,개인,회원수,전체회원수,합계,삼성카드,12868
202401,신용카드,개인,회원수,전체회원수,본인기준회원수,삼성카드,12661
202401,신용카드,개인,회원수,신규회원수(월중),합계,삼성카드,115
202401,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,삼성카드,113
202401,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),삼성카드,108
202401,신용카드,개인,회원수,전체이용회원수,합계,삼성카드,10013
202401,신용카드,개인,회원수,전체이용회원수,신판이용회원수,삼성카드,10003
202401,신용카드,개인,회원수,사용가능회원수(월말),합계,삼성카드,11528
202401,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,삼성카드,11353
202401,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),삼성카드,0
202401,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),삼성카드,0
202401,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),삼성카드,36
202401,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,삼성카드,450
202401,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,삼성카드,40
202401,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,삼성카드,420
202401,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,삼성카드,31
202401,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),삼성카드,233
202401,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,삼성카드,3
202401,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,삼성카드,0
202401,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,삼성카드,1
202401,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,삼성카드,0
202401,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),삼성카드,1
202401,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,삼성카드,885467
202401,금융자산,금융자산,금융자산,합계,합계,삼성카드,5899153
202401,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,삼성카드,109094
202401,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,삼성카드,1291784
202401,신용카드,개인,국내이용금액,일시불,일반,신한카드,8292275
202401,신용카드,개인,국내이용금액,일시불,국세/지방세등,신한카드,1300603
202401,신용카드,개인,국내이용금액,할부,일반,신한카드,2085991
202401,신용카드,개인,국내이용금액,할부,국세/지방세등,신한카드,250817
202401,신용카드,개인,국내이용금액,현금서비스,현금서비스,신한카드,1101956
202401,신용카드,개인,국내이용금액,카드론,카드론,신한카드,721683
202401,신용카드,법인,국내이용금액,일시불,일반,신한카드,1139044
202401,신용카드,법인,국내이용금액,일시불,국세/지방세등,신한카드,98188
202401,신용카드,법인,국내이용금액,일시불,구매전용,신한카드,729235
202401,신용카드,법인,국내이용금액,할부,일반,신한카드,1754
202401,신용카드,법인,국내이용금액,할부,국세/지방세등,신한카드,0
202401,신용카드,법인,국내이용금액,할부,구매전용,신한카드,0
202401,직불/체크카드,개인,국내이용금액,일반,일반,신한카드,1914487
202401,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,신한카드,87374
202401,직불/체크카드,법인,국내이용금액,일반,일반,신한카드,282762
202401,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,신한카드,2570
202401,직불/체크카드,법인,국내이용금액,구매전용,구매전용,신한카드,45908
202401,신용카드,개인,해외이용금액,일시불,일반,신한카드,219005
202401,신용카드,개인,해외이용금액,할부,일반,신한카드,12609
202401,신용카드,개인,해외이용금액,현금서비스,현금서비스,신한카드,2365
202401,신용카드,법인,해외이용금액,일시불,일반,신한카드,73898
202401,신용카드,법인,해외이용금액,현금서비스,현금서비스,신한카드,0
202401,직불/체크카드,개인,해외이용금액,일반,일반,신한카드,69155
202401,직불/체크카드,법인,해외이용금액,일반,일반,신한카드,10164
202401,신용카드,개인,회원수,전체회원수,합계,신한카드,14347
202401,신용카드,개인,회원수,전체회원수,본인기준회원수,신한카드,13916
