기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202206,신용카드,개인,국내이용금액,일시불,일반,롯데카드,22232510
202206,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,471270
202206,신용카드,개인,국내이용금액,할부,일반,롯데카드,6001757
202206,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,281275
202206,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,2770881
202206,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,2564248
202206,신용카드,법인,국내이용금액,일시불,일반,롯데카드,2956696
202206,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,482132
202206,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,5343921
202206,신용카드,법인,국내이용금액,할부,일반,롯데카드,5932
202206,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,53010
202206,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202206,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,385349
202206,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,869
202206,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,684
202206,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202206,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202206,신용카드,개인,해외이용금액,일시불,일반,롯데카드,310645
202206,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202206,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,2731
202206,신용카드,법인,해외이용금액,일시불,일반,롯데카드,222113
202206,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,12
202206,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,521
202206,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202206,신용카드,개인,회원수,전체회원수,합계,롯데카드,8746
202206,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,8432
202206,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,96
202206,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,96
202206,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,63
202206,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,6064
202206,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,6043
202206,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,8076
202206,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,7830
202206,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,1
202206,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202206,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,35
202206,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,562
