기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202201,신용카드,개인,국내이용금액,일시불,일반,롯데카드,3666244
202201,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,104962
202201,신용카드,개인,국내이용금액,할부,일반,롯데카드,993233
202201,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,75647
202201,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,472122
202201,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,414118
202201,신용카드,법인,국내이용금액,일시불,일반,롯데카드,476983
202201,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,48665
202201,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,760419
202201,신용카드,법인,국내이용금액,할부,일반,롯데카드,1070
202201,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,137
202201,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202201,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,63256
202201,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,398
202201,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,113
202201,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202201,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202201,신용카드,개인,해외이용금액,일시불,일반,롯데카드,43301
202201,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202201,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,429
202201,신용카드,법인,해외이용금액,일시불,일반,롯데카드,30762
202201,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,2
202201,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,56
202201,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202201,신용카드,개인,회원수,전체회원수,합계,롯데카드,8592
202201,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,8258
202201,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,104
202201,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,104
202201,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,73
202201,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,5887
202201,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,5864
202201,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,7970
202201,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,7705
202201,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,1
202201,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202201,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,33
202201,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,618
202201,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,롯데카드,40
202201,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,롯데카드,598
202201,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,롯데카드,37
202201,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,454
202201,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,롯데카드,3
202201,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,롯데카드,1
202201,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,롯데카드,3
202201,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,롯데카드,1
202201,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,0
202201,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,롯데카드,693510
202201,금융자산,금융자산,금융자산,합계,합계,롯데카드,3738757
202201,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,롯데카드,17269
202201,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,롯데카드,760941
202201,신용카드,개인,국내이용금액,일시불,일반,비씨카드,1082513
202201,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드,21899
202201,신용카드,개인,국내이용금액,할부,일반,비씨카드,250822
202201,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드,36826
202201,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드,87576
202201,신용카드,개인,국내이용금액,카드론,카드론,비씨카드,35
202201,신용카드,법인,국내이용금액,일시불,일반,비씨카드,1805338
202201,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드,141511
202201,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드,67203
202201,신용카드,법인,국내이용금액,할부,일반,비씨카드,141502
202201,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드,188056
202201,신용카드,법인,국내이용금액,할부,구매전용,비씨카드,72
202201,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드,1416652
202201,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,11187
202201,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드,335325
202201,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,151347
202201,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드,0
202201,신용카드,개인,해외이용금액,일시불,일반,비씨카드,18714
202201,신용카드,개인,해외이용금액,할부,일반,비씨카드,0
202201,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드,361
202201,신용카드,법인,해외이용금액,일시불,일반,비씨카드,51886
202201,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드,273
202201,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드,6178
202201,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드,15585
202201,신용카드,개인,회원수,전체회원수,합계,비씨카드,-9823
202201,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드,-9731
202201,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드,71
202201,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드,71
202201,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,40
202201,신용카드,개인,회원수,전체이용회원수,합계,비씨카드,2500
202201,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드,2492
202201,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드,4317
202201,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드,4295
202201,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드,7
202201,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,9
202201,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드,788
202201,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드,10975
202201,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드,1073
202201,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드,9284
202201,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드,786
