기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202306,신용카드,개인,국내이용금액,일시불,일반,롯데카드,24429457
202306,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,620112
202306,신용카드,개인,국내이용금액,할부,일반,롯데카드,7266282
202306,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,358329
202306,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,2986366
202306,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,2731423
202306,신용카드,법인,국내이용금액,일시불,일반,롯데카드,3169760
202306,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,992085
202306,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,5885447
202306,신용카드,법인,국내이용금액,할부,일반,롯데카드,5404
202306,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,50831
202306,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202306,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,468089
202306,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,836
202306,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,602
202306,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202306,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202306,신용카드,개인,해외이용금액,일시불,일반,롯데카드,445967
202306,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202306,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,3599
202306,신용카드,법인,해외이용금액,일시불,일반,롯데카드,293489
202306,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,30
202306,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,1202
202306,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202306,신용카드,개인,회원수,전체회원수,합계,롯데카드,9181
202306,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,8913
202306,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,113
202306,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,113
202306,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,78
202306,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,6380
202306,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,6358
202306,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,8398
202306,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,8190
202306,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,0
202306,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202306,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,35
202306,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,449
202306,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,롯데카드,31
202306,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,롯데카드,434
202306,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,롯데카드,28
202306,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,314
202306,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,롯데카드,2
202306,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,롯데카드,0
202306,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,롯데카드,2
202306,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,롯데카드,0
202306,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,2
202306,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,롯데카드,738583
202306,금융자산,금융자산,금융자산,합계,합계,롯데카드,4325021
202306,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,롯데카드,54044
202306,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,롯데카드,1052901
202306,신용카드,개인,국내이용금액,일시불,일반,비씨카드,7158903
202306,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드,85388
202306,신용카드,개인,국내이용금액,할부,일반,비씨카드,1704478
202306,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드,156403
202306,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드,533375
202306,신용카드,개인,국내이용금액,카드론,카드론,비씨카드,14971
202306,신용카드,법인,국내이용금액,일시불,일반,비씨카드,10336782
202306,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드,865071
202306,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드,281978
202306,신용카드,법인,국내이용금액,할부,일반,비씨카드,749720
202306,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드,758632
202306,신용카드,법인,국내이용금액,할부,구매전용,비씨카드,7757
202306,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드,8828271
202306,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,44711
202306,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드,2137537
202306,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,1924951
202306,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드,0
202306,신용카드,개인,해외이용금액,일시불,일반,비씨카드,184500
202306,신용카드,개인,해외이용금액,할부,일반,비씨카드,0
202306,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드,4145
202306,신용카드,법인,해외이용금액,일시불,일반,비씨카드,456166
202306,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드,1971
202306,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드,47066
202306,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드,79556
202306,신용카드,개인,회원수,전체회원수,합계,비씨카드,5127
202306,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드,5105
202306,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드,77
202306,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드,77
202306,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,57
202306,신용카드,개인,회원수,전체이용회원수,합계,비씨카드,2607
202306,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드,2599
202306,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드,4836
202306,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드,4814
202306,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드,7
202306,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,13
202306,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드,729
202306,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드,9957
202306,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드,987
202306,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드,8453
202306,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드,741
202306,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,7695
202306,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,비씨카드,861
202306,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,비씨카드,62
202306,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,비씨카드,1266
202306,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,비씨카드,215
202306,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,547
202306,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,비씨카드,2803
202306,금융자산,금융자산,금융자산,합계,합계,비씨카드,14263
202306,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,비씨카드,0
202306,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,비씨카드,8382
202306,신용카드,개인,국내이용금액,일시불,일반,비씨카드 기타,24661527
202306,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,359565
202306,신용카드,개인,국내이용금액,할부,일반,비씨카드 기타,5744774
202306,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드 기타,630341
202306,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드 기타,3422347
202306,신용카드,개인,국내이용금액,카드론,카드론,비씨카드 기타,0
202306,신용카드,법인,국내이용금액,일시불,일반,비씨카드 기타,10328287
202306,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,2211286
202306,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드 기타,145001
202306,신용카드,법인,국내이용금액,할부,일반,비씨카드 기타,170886
202306,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드 기타,40203
202306,신용카드,법인,국내이용금액,할부,구매전용,비씨카드 기타,3226
202306,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드 기타,11395621
202306,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드 기타,39965
202306,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드 기타,2889978
202306,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드 기타,297953
202306,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드 기타,0
202306,신용카드,개인,해외이용금액,일시불,일반,비씨카드 기타,525586
202306,신용카드,개인,해외이용금액,할부,일반,비씨카드 기타,0
202306,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드 기타,8254
