기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202208,신용카드,개인,국내이용금액,일시불,일반,롯데카드,30133285
202208,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,711996
202208,신용카드,개인,국내이용금액,할부,일반,롯데카드,8138789
202208,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,401283
202208,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,3731759
202208,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,3429832
202208,신용카드,법인,국내이용금액,일시불,일반,롯데카드,3763771
202208,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,612474
202208,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,7218388
202208,신용카드,법인,국내이용금액,할부,일반,롯데카드,7843
202208,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,53245
202208,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202208,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,521825
202208,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,1416
202208,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,938
202208,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202208,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202208,신용카드,개인,해외이용금액,일시불,일반,롯데카드,434274
202208,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202208,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,3916
202208,신용카드,법인,해외이용금액,일시불,일반,롯데카드,312065
202208,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,18
202208,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,785
202208,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202208,신용카드,개인,회원수,전체회원수,합계,롯데카드,8826
202208,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,8521
202208,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,107
202208,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,108
202208,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,69
202208,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,6140
202208,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,6119
202208,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,8143
202208,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,7903
202208,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,0
202208,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202208,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,34
202208,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,542
202208,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,롯데카드,35
202208,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,롯데카드,524
202208,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,롯데카드,32
202208,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,391
202208,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,롯데카드,2
202208,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,롯데카드,0
202208,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,롯데카드,2
202208,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,롯데카드,0
202208,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,3
202208,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,롯데카드,710491
202208,금융자산,금융자산,금융자산,합계,합계,롯데카드,3997869
202208,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,롯데카드,21163
202208,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,롯데카드,900162
202208,신용카드,개인,국내이용금액,일시불,일반,비씨카드,8955609
202208,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드,133941
202208,신용카드,개인,국내이용금액,할부,일반,비씨카드,2000710
202208,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드,205437
202208,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드,668256
202208,신용카드,개인,국내이용금액,카드론,카드론,비씨카드,1485
202208,신용카드,법인,국내이용금액,일시불,일반,비씨카드,13463449
202208,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드,1094417
202208,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드,400570
202208,신용카드,법인,국내이용금액,할부,일반,비씨카드,1032446
202208,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드,1048936
202208,신용카드,법인,국내이용금액,할부,구매전용,비씨카드,14597
202208,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드,11827916
202208,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,67153
202208,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드,2724652
202208,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,1987619
202208,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드,0
202208,신용카드,개인,해외이용금액,일시불,일반,비씨카드,178120
202208,신용카드,개인,해외이용금액,할부,일반,비씨카드,0
202208,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드,3396
202208,신용카드,법인,해외이용금액,일시불,일반,비씨카드,495169
202208,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드,2446
202208,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드,53588
202208,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드,113970
202208,신용카드,개인,회원수,전체회원수,합계,비씨카드,4815
202208,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드,4791
202208,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드,70
202208,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드,70
202208,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,55
202208,신용카드,개인,회원수,전체이용회원수,합계,비씨카드,2521
202208,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드,2512
202208,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드,4567
202208,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드,4546
202208,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드,8
202208,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,9
202208,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드,782
