기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202112,신용카드,개인,국내이용금액,일시불,일반,롯데카드,40805980
202112,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,788179
202112,신용카드,개인,국내이용금액,할부,일반,롯데카드,10446986
202112,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,427028
202112,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,5432329
202112,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,5216296
202112,신용카드,법인,국내이용금액,일시불,일반,롯데카드,5227217
202112,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,543260
202112,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,8830010
202112,신용카드,법인,국내이용금액,할부,일반,롯데카드,12586
202112,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,204212
202112,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202112,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,680689
202112,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,1011
202112,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,1161
202112,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,1
202112,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202112,신용카드,개인,해외이용금액,일시불,일반,롯데카드,509820
202112,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202112,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,4400
202112,신용카드,법인,해외이용금액,일시불,일반,롯데카드,264447
202112,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,100
202112,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,4802
202112,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202112,신용카드,개인,회원수,전체회원수,합계,롯데카드,8560
202112,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,8222
202112,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,96
202112,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,96
202112,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,75
202112,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,5849
202112,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,5826
202112,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,7945
202112,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,7677
202112,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,1
202112,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202112,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,32
202112,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,631
202112,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,롯데카드,41
202112,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,롯데카드,610
202112,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,롯데카드,37
202112,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,464
202112,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,롯데카드,3
202112,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,롯데카드,1
202112,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,롯데카드,3
202112,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,롯데카드,1
202112,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,3
202112,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,롯데카드,690047
202112,금융자산,금융자산,금융자산,합계,합계,롯데카드,3694387
202112,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,롯데카드,15539
202112,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,롯데카드,742190
202112,신용카드,개인,국내이용금액,일시불,일반,비씨카드,12772262
202112,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드,204137
202112,신용카드,개인,국내이용금액,할부,일반,비씨카드,2963195
202112,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드,286788
202112,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드,1098019
202112,신용카드,개인,국내이용금액,카드론,카드론,비씨카드,161
202112,신용카드,법인,국내이용금액,일시불,일반,비씨카드,18184585
202112,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드,1593099
202112,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드,468921
202112,신용카드,법인,국내이용금액,할부,일반,비씨카드,1614157
202112,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드,1612325
202112,신용카드,법인,국내이용금액,할부,구매전용,비씨카드,1335
202112,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드,16964370
202112,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,109178
202112,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드,4149388
202112,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,2753093
202112,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드,0
202112,신용카드,개인,해외이용금액,일시불,일반,비씨카드,217973
202112,신용카드,개인,해외이용금액,할부,일반,비씨카드,0
202112,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드,4031
202112,신용카드,법인,해외이용금액,일시불,일반,비씨카드,563899
202112,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드,3160
202112,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드,171516
202112,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드,172360
202112,신용카드,개인,회원수,전체회원수,합계,비씨카드,-9805
202112,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드,0
202112,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드,78
202112,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드,0
202112,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,56
202112,신용카드,개인,회원수,전체이용회원수,합계,비씨카드,0
202112,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드,0
202112,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드,4288
202112,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드,0
202112,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드,6
202112,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,7
202112,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드,791
202112,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드,10970
202112,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드,1095
202112,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드,7745
202112,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드,720
202112,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,8466
202112,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,비씨카드,838
202112,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,비씨카드,53
202112,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,비씨카드,512
202112,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,비씨카드,26
202112,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,538
202112,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,비씨카드,367
202112,금융자산,금융자산,금융자산,합계,합계,비씨카드,81
202112,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,비씨카드,0
202112,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,비씨카드,0
202112,신용카드,개인,국내이용금액,일시불,일반,비씨카드 기타,42253220
202112,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,813969
202112,신용카드,개인,국내이용금액,할부,일반,비씨카드 기타,9677599
202112,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드 기타,1098831
202112,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드 기타,6575674
202112,신용카드,개인,국내이용금액,카드론,카드론,비씨카드 기타,0
202112,신용카드,법인,국내이용금액,일시불,일반,비씨카드 기타,20354226
202112,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,2723627
202112,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드 기타,293304
202112,신용카드,법인,국내이용금액,할부,일반,비씨카드 기타,414993
202112,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드 기타,3005893
202112,신용카드,법인,국내이용금액,할부,구매전용,비씨카드 기타,5918
202112,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드 기타,21861561
