기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202506,신용카드,개인,국내이용금액,일시불,일반,롯데카드,26078054.0
202506,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,1465819.0
202506,신용카드,개인,국내이용금액,할부,일반,롯데카드,7473206.0
202506,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,493677.0
202506,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,3126243.0
202506,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,2510914.0
202506,신용카드,법인,국내이용금액,일시불,일반,롯데카드,3633076.0
202506,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,980442.0
202506,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,7193328.0
202506,신용카드,법인,국내이용금액,할부,일반,롯데카드,3729.0
202506,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,79013.0
202506,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0.0
202506,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,310314.0
202506,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,5941.0
202506,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,514.0
202506,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0.0
202506,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0.0
202506,신용카드,개인,해외이용금액,일시불,일반,롯데카드,487967.0
202506,신용카드,개인,해외이용금액,할부,일반,롯데카드,0.0
202506,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,3305.0
202506,신용카드,법인,해외이용금액,일시불,일반,롯데카드,378104.0
202506,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,32.0
202506,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,3074.0
202506,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0.0
202506,신용카드,개인,회원수,전체회원수,합계,롯데카드,9617.0
202506,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,9427.0
202506,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,88.0
202506,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,87.0
202506,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,66.0
202506,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,7094.0
202506,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,7086.0
202506,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,8714.0
202506,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,8554.0
202506,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,0.0
202506,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0.0
202506,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,41.0
202506,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,321.0
202506,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,롯데카드,23.0
202506,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,롯데카드,311.0
202506,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,롯데카드,21.0
202506,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,213.0
202506,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,롯데카드,2.0
202506,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,롯데카드,0.0
202506,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,롯데카드,2.0
202506,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,롯데카드,0.0
202506,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,2.0
202506,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,롯데카드,732124.0
202506,금융자산,금융자산,금융자산,합계,합계,롯데카드,5046583.0
202506,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,롯데카드,129195.0
202506,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,롯데카드,894513.0
202506,신용카드,개인,국내이용금액,일시불,일반,비씨카드,8010118.0
202506,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드,131535.0
202506,신용카드,개인,국내이용금액,할부,일반,비씨카드,1767876.0
202506,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드,203732.0
202506,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드,509479.0
202506,신용카드,개인,국내이용금액,카드론,카드론,비씨카드,16760.0
202506,신용카드,법인,국내이용금액,일시불,일반,비씨카드,11093286.0
202506,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드,1384738.0
202506,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드,404834.0
202506,신용카드,법인,국내이용금액,할부,일반,비씨카드,789137.0
202506,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드,687213.0
202506,신용카드,법인,국내이용금액,할부,구매전용,비씨카드,0.0
202506,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드,8118264.0
202506,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,55639.0
202506,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드,2396348.0
202506,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,1925644.0
202506,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드,0.0
202506,신용카드,개인,해외이용금액,일시불,일반,비씨카드,184067.0
202506,신용카드,개인,해외이용금액,할부,일반,비씨카드,0.0
202506,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드,3185.0
202506,신용카드,법인,해외이용금액,일시불,일반,비씨카드,600268.0
202506,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드,1360.0
202506,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드,43436.0
202506,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드,75525.0
202506,신용카드,개인,회원수,전체회원수,합계,비씨카드,6505.0
202506,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드,6482.0
202506,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드,86.0
202506,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드,86.0
202506,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,50.0
202506,신용카드,개인,회원수,전체이용회원수,합계,비씨카드,3032.0
202506,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드,3024.0
202506,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드,6078.0
202506,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드,6057.0
202506,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드,10.0
202506,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,11.0
202506,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드,656.0
202506,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드,9048.0
202506,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드,950.0
202506,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드,7670.0
202506,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드,736.0
202506,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,7086.0
202506,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,비씨카드,816.0
202506,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,비씨카드,75.0
202506,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,비씨카드,1139.0
202506,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,비씨카드,162.0
202506,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,502.0
202506,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,비씨카드,5539.0
202506,금융자산,금융자산,금융자산,합계,합계,비씨카드,39985.0
202506,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,비씨카드,1942.0
202506,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,비씨카드,22689.0
202506,신용카드,개인,국내이용금액,일시불,일반,비씨카드 기타,19872856.0
202506,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,343804.0
202506,신용카드,개인,국내이용금액,할부,일반,비씨카드 기타,4257656.0
202506,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드 기타,393022.0
202506,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드 기타,3189859.0
202506,신용카드,개인,국내이용금액,카드론,카드론,비씨카드 기타,0.0
202506,신용카드,법인,국내이용금액,일시불,일반,비씨카드 기타,7600370.0
202506,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드 기타,2208437.0
202506,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드 기타,132931.0
202506,신용카드,법인,국내이용금액,할부,일반,비씨카드 기타,138119.0
202506,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드 기타,33594.0
202506,신용카드,법인,국내이용금액,할부,구매전용,비씨카드 기타,0.0
202506,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드 기타,8618864.0
202506,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드 기타,29003.0
202506,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드 기타,2623808.0
202506,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드 기타,195579.0
202506,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드 기타,0.0
202506,신용카드,개인,해외이용금액,일시불,일반,비씨카드 기타,378695.0
202506,신용카드,개인,해외이용금액,할부,일반,비씨카드 기타,0.0
202506,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드 기타,4760.0
202506,신용카드,법인,해외이용금액,일시불,일반,비씨카드 기타,310822.0
202506,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드 기타,138.0
202506,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드 기타,89644.0
202506,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드 기타,37499.0
202506,신용카드,개인,회원수,전체회원수,합계,비씨카드 기타,9623.0
202506,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드 기타,9553.0
202506,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드 기타,84.0
202506,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드 기타,83.0
202506,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드 기타,96.0
202506,신용카드,개인,회원수,전체이용회원수,합계,비씨카드 기타,6316.0
202506,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드 기타,6293.0
202506,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드 기타,9202.0
202506,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드 기타,9136.0
202506,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드 기타,5.0
202506,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드 기타,13.0
202506,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드 기타,489.0
202506,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드 기타,11912.0
202506,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드 기타,1504.0
202506,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드 기타,9755.0
202506,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드 기타,757.0
202506,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드 기타,7673.0
202506,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,비씨카드 기타,423.0
202506,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,비씨카드 기타,40.0
202506,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,비씨카드 기타,657.0
202506,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,비씨카드 기타,84.0
202506,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드 기타,166.0
202506,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,비씨카드 기타,0.0
202506,금융자산,금융자산,금융자산,합계,합계,비씨카드 기타,0.0
202506,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,비씨카드 기타,0.0
202506,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,비씨카드 기타,0.0
202506,신용카드,개인,국내이용금액,일시불,일반,삼성카드,47689262.0
202506,신용카드,개인,국내이용금액,일시불,국세/지방세등,삼성카드,2544852.0
202506,신용카드,개인,국내이용금액,할부,일반,삼성카드,17422016.0
202506,신용카드,개인,국내이용금액,할부,국세/지방세등,삼성카드,1252617.0
202506,신용카드,개인,국내이용금액,현금서비스,현금서비스,삼성카드,4347589.0
202506,신용카드,개인,국내이용금액,카드론,카드론,삼성카드,4479240.0
202506,신용카드,법인,국내이용금액,일시불,일반,삼성카드,5264943.0
202506,신용카드,법인,국내이용금액,일시불,국세/지방세등,삼성카드,2725227.0
202506,신용카드,법인,국내이용금액,일시불,구매전용,삼성카드,822431.0
202506,신용카드,법인,국내이용금액,할부,일반,삼성카드,9835.0
