기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202203,신용카드,개인,국내이용금액,일시불,일반,롯데카드,10586383
202203,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,235139
202203,신용카드,개인,국내이용금액,할부,일반,롯데카드,2859716
202203,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,151390
202203,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,1376451
202203,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,1268979
202203,신용카드,법인,국내이용금액,일시불,일반,롯데카드,1368858
202203,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,148021
202203,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,2451326
202203,신용카드,법인,국내이용금액,할부,일반,롯데카드,2980
202203,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,313
202203,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202203,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,184894
202203,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,576
202203,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,313
202203,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202203,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202203,신용카드,개인,해외이용금액,일시불,일반,롯데카드,139378
202203,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202203,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,1205
202203,신용카드,법인,해외이용금액,일시불,일반,롯데카드,99019
202203,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,5
202203,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,171
202203,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202203,신용카드,개인,회원수,전체회원수,합계,롯데카드,8646
202203,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,8320
202203,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,98
202203,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,98
202203,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,70
202203,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,5909
202203,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,5887
202203,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,7999
202203,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,7743
202203,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,1
202203,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202203,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,33
202203,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,595
