기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202308,신용카드,개인,국내이용금액,일시불,일반,롯데카드,33010666
202308,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,1005625
202308,신용카드,개인,국내이용금액,할부,일반,롯데카드,9806600
202308,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,502742
202308,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,4024367
202308,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,3631657
202308,신용카드,법인,국내이용금액,일시불,일반,롯데카드,4201965
202308,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,1211766
202308,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,7866736
202308,신용카드,법인,국내이용금액,할부,일반,롯데카드,7234
202308,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,51103
202308,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202308,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,632619
202308,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,1614
202308,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,786
202308,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202308,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202308,신용카드,개인,해외이용금액,일시불,일반,롯데카드,603468
202308,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202308,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,4936
202308,신용카드,법인,해외이용금액,일시불,일반,롯데카드,391088
202308,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,44
202308,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,1760
202308,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202308,신용카드,개인,회원수,전체회원수,합계,롯데카드,9259
202308,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,8999
202308,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,118
202308,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,119
202308,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,83
202308,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,6463
202308,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,6440
