기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202207,신용카드,개인,국내이용금액,일시불,일반,롯데카드,26148007
202207,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,612419
202207,신용카드,개인,국내이용금액,할부,일반,롯데카드,7040707
202207,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,361979
202207,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,3242648
202207,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,2994148
202207,신용카드,법인,국내이용금액,일시불,일반,롯데카드,3368232
202207,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,570763
202207,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,6239499
202207,신용카드,법인,국내이용금액,할부,일반,롯데카드,6882
202207,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,53180
202207,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202207,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,451870
202207,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,1298
202207,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,806
202207,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202207,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202207,신용카드,개인,해외이용금액,일시불,일반,롯데카드,368463
202207,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202207,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,3265
202207,신용카드,법인,해외이용금액,일시불,일반,롯데카드,263232
202207,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,15
202207,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,627
202207,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202207,신용카드,개인,회원수,전체회원수,합계,롯데카드,8788
202207,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,8478
202207,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,107
202207,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,107
202207,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,64
202207,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,6063
202207,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,6041
202207,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,8108
202207,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,7865
202207,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,0
202207,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202207,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,34
202207,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,551
202207,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,롯데카드,36
202207,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,롯데카드,534
202207,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,롯데카드,32
202207,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,399
202207,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,롯데카드,2
202207,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,롯데카드,0
202207,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,롯데카드,2
202207,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,롯데카드,0
202207,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,3
202207,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,롯데카드,688335
202207,금융자산,금융자산,금융자산,합계,합계,롯데카드,3943799
202207,금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액,롯데카드,18866
202207,금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,롯데카드,875950
202207,신용카드,개인,국내이용금액,일시불,일반,비씨카드,7790224
202207,신용카드,개인,국내이용금액,일시불,국세/지방세등,비씨카드,117706
202207,신용카드,개인,국내이용금액,할부,일반,비씨카드,1749032
202207,신용카드,개인,국내이용금액,할부,국세/지방세등,비씨카드,183742
202207,신용카드,개인,국내이용금액,현금서비스,현금서비스,비씨카드,584018
202207,신용카드,개인,국내이용금액,카드론,카드론,비씨카드,1075
202207,신용카드,법인,국내이용금액,일시불,일반,비씨카드,11649533
202207,신용카드,법인,국내이용금액,일시불,국세/지방세등,비씨카드,965308
202207,신용카드,법인,국내이용금액,일시불,구매전용,비씨카드,345103
202207,신용카드,법인,국내이용금액,할부,일반,비씨카드,911681
202207,신용카드,법인,국내이용금액,할부,국세/지방세등,비씨카드,969041
202207,신용카드,법인,국내이용금액,할부,구매전용,비씨카드,14488
202207,직불/체크카드,개인,국내이용금액,일반,일반,비씨카드,10254676
202207,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,59795
202207,직불/체크카드,법인,국내이용금액,일반,일반,비씨카드,2353186
202207,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,비씨카드,1844325
202207,직불/체크카드,법인,국내이용금액,구매전용,구매전용,비씨카드,0
202207,신용카드,개인,해외이용금액,일시불,일반,비씨카드,150955
202207,신용카드,개인,해외이용금액,할부,일반,비씨카드,0
202207,신용카드,개인,해외이용금액,현금서비스,현금서비스,비씨카드,2840
202207,신용카드,법인,해외이용금액,일시불,일반,비씨카드,427475
202207,신용카드,법인,해외이용금액,현금서비스,현금서비스,비씨카드,2162
202207,직불/체크카드,개인,해외이용금액,일반,일반,비씨카드,46130
202207,직불/체크카드,법인,해외이용금액,일반,일반,비씨카드,99643
202207,신용카드,개인,회원수,전체회원수,합계,비씨카드,4799
202207,신용카드,개인,회원수,전체회원수,본인기준회원수,비씨카드,4776
202207,신용카드,개인,회원수,신규회원수(월중),합계,비씨카드,63
202207,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,비씨카드,63
202207,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,44
202207,신용카드,개인,회원수,전체이용회원수,합계,비씨카드,2520
202207,신용카드,개인,회원수,전체이용회원수,신판이용회원수,비씨카드,2512
202207,신용카드,개인,회원수,사용가능회원수(월말),합계,비씨카드,4556
202207,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,비씨카드,4534
202207,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),비씨카드,7
202207,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),비씨카드,10
202207,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),비씨카드,781
202207,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,비씨카드,10781
202207,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,비씨카드,1037
202207,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,비씨카드,9117
202207,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,비씨카드,768
202207,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,8285
202207,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,비씨카드,866
202207,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,비씨카드,55
202207,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,비씨카드,1328
202207,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,비씨카드,188
202207,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),비씨카드,553
202207,금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액,비씨카드,821
202207,금융자산,금융자산,금융자산,합계,합계,비씨카드,837
