대분류,신용체크구분,개인법인구분,중분류,소분류,롯데카드,비씨카드,비씨카드 기타,삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,NH농협카드,합계,기준년월
국내이용금액,신용카드,개인,일시불,일반,41962279,12405477,42115414,72691515,86267567,30559495,27939471,74794860,68415583,34879822,449916069,202211
국내이용금액,신용카드,개인,일시불,국세/지방세등,1013309,196039,725526,5793868,9594235,613002,466963,863834,5838345,433550,24813145,202211
국내이용금액,신용카드,개인,할부,일반,11674482,2821654,9471190,27588733,22120191,8044503,5575691,20132245,17915015,8142114,124014628,202211
국내이용금액,신용카드,개인,할부,국세/지방세등,562624,309857,1209081,2666584,2262411,993434,673392,1701257,1814908,753652,11738119,202211
국내이용금액,신용카드,개인,현금서비스,현금서비스,5244352,924466,6808005,8709928,12292996,5373851,2802476,4771735,8584438,3089814,51794056,202211
국내이용금액,신용카드,개인,카드론,카드론,4388246,4142,0,7703287,9325613,2886143,2851238,5861398,6691052,2919894,42631013,202211
국내이용금액,신용카드,법인,일시불,일반,5267771,18851461,19494839,9484521,12754471,10373210,8706483,8270316,13682338,11975532,99366103,202211
국내이용금액,신용카드,법인,일시불,국세/지방세등,895369,1560533,2971196,5436810,672448,2581059,5564493,5175955,7168228,522728,29577623,202211
국내이용금액,신용카드,법인,일시불,구매전용,10157578,533918,208625,4807110,2968375,3403600,1567994,6753385,0,200687,30392647,202211
국내이용금액,신용카드,법인,할부,일반,10745,1416138,345620,43765,24024,166756,175682,8807,165445,704154,2715516,202211
국내이용금액,신용카드,법인,할부,국세/지방세등,53579,1414856,70825,52,0,38243,201021,7021,37691,205155,1957618,202211
국내이용금액,신용카드,법인,할부,구매전용,0,15574,6818,0,0,0,0,29526,0,0,45100,202211
국내이용금액,직불/체크카드,개인,일반,일반,739537,16395174,21238161,851613,21824075,15289073,9924653,353593,26662450,43795196,135835364,202211
국내이용금액,직불/체크카드,개인,국세/지방세등,국세/지방세등,1861,92751,82306,5472,1133322,64464,37456,836,1171556,202946,2710664,202211
국내이용금액,직불/체크카드,법인,일반,일반,1265,3852403,5066277,25819,3247157,4082690,2441453,204222,4495839,6362037,24712885,202211
국내이용금액,직불/체크카드,법인,국세/지방세등,국세/지방세등,0,2864638,712464,77,16773,321291,611434,1231,535769,238411,4589624,202211
국내이용금액,직불/체크카드,법인,구매전용,구매전용,0,0,0,0,610566,0,0,10973,0,0,621539,202211
해외이용금액,신용카드,개인,일시불,일반,624472,257790,758376,1565421,1453782,645607,706727,1279374,1350157,305911,8189241,202211
해외이용금액,신용카드,개인,할부,일반,0,0,0,116885,84543,0,0,112598,0,0,314026,202211
해외이용금액,신용카드,개인,현금서비스,현금서비스,5489,5120,13238,14167,18633,11632,10457,9388,21141,5230,101257,202211
해외이용금액,신용카드,법인,일시불,일반,455428,717430,485797,557924,567778,393948,413893,214172,505995,101638,3928206,202211
해외이용금액,신용카드,법인,현금서비스,현금서비스,26,3472,260,158,48,247,484,0,105,200,4740,202211
해외이용금액,직불/체크카드,개인,일반,일반,1094,76328,243751,4595,623534,435512,468834,0,343855,268999,2222751,202211
해외이용금액,직불/체크카드,법인,일반,일반,0,155706,151534,0,174223,151534,204090,0,132638,42102,860293,202211
회원수,신용카드,개인,전체회원수,합계,8930,4937,10067,12526,14202,6962,5780,11303,11455,8352,-,202211
회원수,신용카드,개인,전체회원수,본인기준회원수,8635,4913,9984,12298,13783,6920,5679,10987,11209,0,-,202211
회원수,신용카드,개인,신규회원수(월중),합계,97,78,106,126,118,79,85,151,126,107,-,202211
회원수,신용카드,개인,신규회원수(월중),본인기준회원수,98,77,106,125,112,78,84,148,123,0,-,202211
회원수,신용카드,개인,해지회원수(월중),해지회원수(월중),67,47,83,95,98,62,51,67,74,58,-,202211
회원수,신용카드,개인,전체이용회원수,합계,6193,2552,6997,9814,11170,5053,3988,8758,9022,0,-,202211
회원수,신용카드,개인,전체이용회원수,신판이용회원수,6171,2543,6972,9802,11145,5038,3975,8741,8975,0,-,202211
회원수,신용카드,개인,사용가능회원수(월말),합계,8215,4681,9730,11451,13162,6116,5035,10413,10454,8218,-,202211
회원수,신용카드,개인,사용가능회원수(월말),본인기준회원수,7985,4659,9651,11257,12813,6079,4942,10140,10230,0,-,202211
회원수,신용카드,법인,신규회원수(월중),신규회원수(월중),0,7,8,0,3,8,4,0,8,1,-,202211
회원수,신용카드,법인,해지회원수(월중),해지회원수(월중),0,7,3,0,4,3,1,0,4,5,-,202211
회원수,신용카드,법인,사용가능회원수(월말),사용가능회원수(월말),34,778,530,43,178,262,247,36,447,873,-,202211
회원수,직불/체크카드,개인,사용가능카드수,사용가능카드수,512,10689,12705,550,19828,9220,10021,138,16229,0,-,202211
회원수,직불/체크카드,개인,사용불가카드수,사용불가카드수,34,1094,1497,47,424,1112,595,21,861,0,-,202211
회원수,직불/체크카드,개인,사용가능회원수,사용가능회원수,496,9033,10788,499,14185,7507,7898,136,13551,0,-,202211
회원수,직불/체크카드,개인,사용불가회원수,사용불가회원수,31,804,821,33,210,463,281,18,306,0,-,202211
회원수,직불/체크카드,개인,순수보유회원수(월말),순수보유회원수(월말),368,8242,8629,271,7724,5191,5955,117,8404,0,-,202211
회원수,직불/체크카드,법인,사용가능카드수,사용가능카드수,2,874,503,3,328,317,222,22,658,0,-,202211
회원수,직불/체크카드,법인,사용불가카드수,사용불가카드수,0,57,49,0,57,11,10,5,115,0,-,202211
회원수,직불/체크카드,법인,사용가능회원수,사용가능회원수,2,1329,719,1,139,117,104,9,402,0,-,202211
회원수,직불/체크카드,법인,사용불가회원수,사용불가회원수,0,184,81,0,82,2,3,2,20,0,-,202211
회원수,직불/체크카드,법인,순수보유회원수(월말),순수보유회원수(월말),3,558,190,1,162,107,59,8,320,0,-,202211
금융자산,,,현금서비스잔액,현금서비스잔액,774312,1262,0,1189213,1756178,713496,414544,520623,1236936,424188,7030752,202211
금융자산,,,합계,합계,3940328,3173,0,5804283,7953024,2818735,2688720,4766948,6314573,2713980,37003764,202211
금융자산,,,대환대출잔액,대환대출잔액,30967,0,0,96455,321388,126838,67635,154249,250438,18490,1066460,202211
